Vendor,Domain,Category,Coverage (Assets/Geo),Primary APIs / Endpoints,Free Tier Limits (approx),Next Tier / Pricing (approx),Docs URL,Pricing / Portal URL,Website,MCP Server Availability,Representative MCP Tools,Key Features,Limitations / Caveats,Strengths,Weaknesses,Ideal Use Cases,Licensing / Notes
Yahoo Finance (unofficial),Stocks,Unofficial Scrape/Library,Global quotes & fundamentals (best-effort),community yfinance endpoints,Free (rate-limited by site),N/A,https://pypi.org/project/yfinance/,N/A,https://finance.yahoo.com,?? Not an official MCP,"get_history, get_info (library level)",Good for quick prototyping,Unofficial; brittle; licensing risk,Easy & free,Not production-grade,Exploration & POCs,Avoid commercial redistribution
Alpaca (Market Data + Trading),Stocks/Crypto/Options,Execution + Data,US equities/options + crypto,"Bars, quotes; orders, positions, account",Free developer tier; 200 calls/min often cited,Algo Trader Plus ~$99/mo (data); trading fees separate,https://docs.alpaca.markets/,https://alpaca.markets/pricing/,https://alpaca.markets,? Widely used MCP target,"get_bars, place_order, positions",Paper + live trading; unified data/trade,Exact free quotas vary; exchange fees apply,Close the loop data?execution,Account & limits setup,"Paper trading, strategy eval, small live",Broker/regulatory constraints
Interactive Brokers (IBKR),Stocks/Options/Futures/FX,Broker Market Data + Trading,Global multi-asset,"IB API (TWS/IBGW), market data subscriptions",No true free data; subs per exchange,Per-exchange/month + commissions,https://interactivebrokers.github.io/,https://www.interactivebrokers.com/en/pricing/market-data-pricing.php,https://www.interactivebrokers.com,?? Custom MCP gateway,"market_data, place_order",Extensive markets; DMA,Complex setup; market data fees,Professional execution & coverage,Steeper learning curve,Institutional/active trading,Exchange entitlements
CoinAPI,Crypto,Multi-Exchange Market Data,Hundreds of venues (varying depth),"OHLCV, trades, quotes, order books; REST & WebSocket",$25 credit free,Startup ~$79/mo (1k REST/day); higher tiers,https://docs.coinapi.io/,https://www.coinapi.io/pricing,https://www.coinapi.io,? Community/enterprise MCP,"ohlcv_history, trades_history, quotes_history",Venue-accurate OHLCV & tick; sockets,Credit-based; higher cost at scale,High-fidelity market data,Pay for volume,"Backtests, venue-accurate signals",Licensing by venue applies
CoinGecko,Crypto,"Listings, Prices, Metadata","10k+ coins, broad exchanges","Simple price, markets, market_chart, coin detail",?30 calls/min; ~10k/mo,Pro from ~$129/mo,https://www.coingecko.com/en/api,https://www.coingecko.com/en/api/pricing,https://www.coingecko.com,? Community MCP,"simple_price, coins_markets, market_chart, coin_detail",Huge breadth; easy JSON,Not tick-accurate per venue,Breadth & convenience,Lower precision for execution models,Nightly append; rankings; metadata,Attribution required
CoinMarketCap,Crypto,"Listings, OHLCV, Metadata",Large-cap focus; many assets,"listings/latest, quotes/latest, ohlcv/historical",Basic ~10k credits/mo,$29–$699/mo tiers,https://coinmarketcap.com/api/documentation/v1/,https://coinmarketcap.com/api/pricing/,https://coinmarketcap.com,? MCP examples,"listings_latest, quotes_latest, ohlcv_historical",Reference rankings & caps,Credit accounting; TOS on display,Benchmarking & screening,Exact venue prices differ,Market overview; research,Mind attribution
CryptoCompare,Crypto,"Prices, Social, News",Many assets/exchanges,"histoday/histohour, price_multi, news",Free ? generous (~100k/mo),Commercial ~$79–$250/mo,https://min-api.cryptocompare.com/documentation,https://min-api.cryptocompare.com/pricing,https://www.cryptocompare.com,? Community MCP,"histoday, histohour, price_multi, news_feeds",EOD + intraday; social/news,Precision varies by pair/venue,Great EOD & sentiment inputs,Venue-precision limits,Signals & dashboards,Attribution rules
Messari,Crypto,Fundamentals & Metrics,Top assets; sectors & governance,"assets/metrics, timeseries, asset profiles",Free community access (limited),$29–$199+/mo,https://messari.io/api,https://messari.io/api/pricing,https://messari.io,? MCP samples,"assets_metrics, timeseries, asset_profile",Research-grade fundamentals,Coverage varies by asset,Narrative + metrics,Gaps for small caps,"Token fundamentals, screening",License for redistribution
Kaiko,Crypto,Institutional Trade/Quote/Book,Many venues; enterprise focus,"Trades, quotes, aggregated order book, candles",No free; paid only,Custom (>$1k+/mo),https://docs.kaiko.com/,https://www.kaiko.com/pricing,https://www.kaiko.com,? Enterprise MCP,"trades, quotes, aggregates, orderbook_snapshots",Institutional quality,Cost; contracts,Professional backtesting & research,Budget heavy,"Funds, HFT research",Contractual terms
Glassnode,Crypto,On-Chain Metrics,BTC/ETH and majors; some alts,"mvrv, active addresses, realized cap, flows",Free 5 req/min (limited),Advanced €39–€99/mo+,https://docs.glassnode.com/,https://studio.glassnode.com/metrics,https://glassnode.com,? Community MCP,"metric, flows, active_addresses, realized_cap",Best-in-class on-chain,Paywall for many metrics,Behavioral/flow context,Not price/tick data,Regime tagging; risk models,Attribution/licensing
CoinCap,Crypto,Lightweight Prices,Broad asset list,"assets, asset history (d1), rates",?4k req/mo,Custom paid,https://docs.coincap.io/,https://pro.coincap.io/,https://coincap.io,?? Light MCP,"assets, asset_history, rates",Simple & fast,Not venue-precise,"Prototyping, dashboards",Limited depth,Quick overviews,Attribution
FreeCryptoAPI,Crypto,Live & Historical Prices + TA,3k+ coins; 12k+ pairs; multi-exchange,"getOHLC, getHistory, getTimeframe, getConversion, getTechnicalAnalysis",Free Forever ~100k req/mo,Paid tiers for higher limits,https://freecryptoapi.com/,https://freecryptoapi.com/,https://freecryptoapi.com/,?? Emerging MCP,"getOHLC, getHistory, getConversion, getTechnicalAnalysis",Generous free; TA endpoints,Less known; verify SLA,Low-cost experiments,Unclear venue precision,Prototyping & scans,Review TOS
CryptoAPIs,Crypto/On-Chain,Blockchain Infra & Wallets,BTC/ETH/etc networks,"address balance, tx history, broadcast, fees",?100k credits/mo free,Starter ~$49/mo+,https://developers.cryptoapis.io/,https://cryptoapis.io/pricing,https://cryptoapis.io,? SDKs & MCP adapters,"get_address_balance, list_address_txs, estimate_fee, broadcast_tx",Infra-level access; many chains,Not market quotes,Custody/alerts/back-end ops,Chain complexity,On-chain monitoring,Security practices
Binance,Crypto Exchange,Market Data + Trading,Global spot; derivatives (separate),"klines, ticker, depth; orders/balances",Free public+keyed,Exchange fees apply,https://binance-docs.github.io/apidocs/,https://www.binance.com/en/fees,https://www.binance.com,? Official & community MCP,"klines, ticker_price, depth, place_order, cancel_order, account_info",Deep liquidity; fast,Geo restrictions; compliance,Live execution & data,Jurisdictional limits,Trading loop integration,KYC/limits apply
Kraken,Crypto Exchange,Market Data + Trading,Spot & derivatives,"OHLC, ticker, depth; orders",Free public+auth,Exchange fees apply,https://docs.kraken.com/rest/,https://www.kraken.com/features/fee-schedule,https://www.kraken.com,? Community MCP,"ohlc, ticker, depth, add_order, cancel_order, balance",Regulatory friendly; stable,Pairs smaller than Binance,Execution + data,Throughput caps,US/EU compliant trading,KYC/limits
Coinbase Advanced Trade,Crypto Exchange,Market Data + Trading,US/Global spot,"products, candles, orders, fills, accounts",Free public+auth,Exchange fees apply,https://docs.cloud.coinbase.com/advanced-trade-api,https://www.coinbase.com/fees,https://www.coinbase.com,? Official MCP plugin/wrappers,"candles, products, place_order, cancel_order, accounts, fills",US-regulated on/off-ramp,Fees higher vs some venues,Retail/pro integration,Pair coverage smaller,US-centric execution,KYC/limits
FRED,Macro,Economic Time Series,"US macro (rates, CPI, GDP, etc.)",series/observations/search,Free,Free,https://fred.stlouisfed.org/docs/api/fred/,https://fred.stlouisfed.org/,https://fred.stlouisfed.org,?? Simple MCP,macro_series(series_id),Authoritative macro data,US-centric,Great for regime detection,Limited non-US,Macro factors; overlays,Attribution requested
NOAA / OpenWeather,Weather/Energy,Weather & climate metrics,Global (OpenWeather); US (NOAA focus),"forecast, history, alerts",NOAA free; OpenWeather free+paid,OpenWeather from ~$0–$200+/mo,https://www.weather.gov/documentation/services-web-api,https://openweathermap.org/api,https://www.weather.gov/,?? Simple MCP,"weather_anomaly, storm_alerts",Energy demand proxies; storm risk,Spatial joins needed,"Utilities, logistics, insurers",No direct finance data,Event risk overlays,Usage limits per key
SafeGraph / Placer.ai,Mobility/Foot Traffic,Venue & census mobility,US-heavy; venue-level,"footfall, dwell, POI panels",No free (historically samples),$1k–$5k+/mo,https://www.safegraph.com/docs,https://www.placer.ai/solutions/,https://www.safegraph.com,?? Custom MCP,"venue_traffic, region_mobility",Store traffic ? revenue nowcasts,Cost; privacy constraints,"Retail, QSR, CRE insights",Coverage bias urban,Same-store sales proxies,License terms strict
SimilarWeb / Data.ai,Web/App Demand,Web visits & app ranks,Global web/app,"rankings, installs, visits",No free (limited trials),$500–$2k+/mo,https://developer.similarweb.com/,https://www.data.ai/en/developers/,https://www.similarweb.com,?? Custom MCP,"app_rank, web_visits",Digital demand signals,Sampling/model bias,Consumer SaaS/Games nowcasts,Opaque methods,Demand inflection detection,Usage restrictions
MarineTraffic / Freightos FBX,Shipping/Supply Chain,AIS + container rates,Global ports & routes,"port congestion, dwell, rates",Mostly paid,Custom; FBX subscriptions,https://www.marinetraffic.com/data/,https://fbx.freightos.com/,https://www.marinetraffic.com,?? Custom MCP,"port_dwell, container_rate",Supply chain stress indices,Cost; terms,Retail/hardware margin risk,Latency & noise,COGS risk monitoring,Commercial license
USPTO / PatentsView,IP Filings,Patents & trademarks,US patents; global via WIPO (separate),"search, bulk data",Free,Free,https://patentsview.org/apis/api-endpoints,https://developer.uspto.gov/data,https://www.uspto.gov,?? Simple MCP,"search_patents, search_trademarks",Product pipeline proxies,Lag; text parsing heavy,Tech/product roadmaps,Sparse near-term alpha,Narrative context,Public domain
CourtListener / GovInfo,Legal/Regulatory,"Dockets, opinions, filings",US federal & some state,"search, docket alerts",Free,Free,https://www.courtlistener.com/api/rest-info/,https://www.govinfo.gov/developers,https://www.courtlistener.com,?? Simple MCP,"search_cases, docket_watch",Regulatory & litigation risk,Legal text noisy,Event studies around rulings,Complex entity resolution,Risk overlays,Follow robots/TOS
NASA FIRMS,Climate/ESG,Fire perimeters & anomalies,Global,"active fire, hotspots",Free,Free,https://firms.modaps.eosdis.nasa.gov/api/,https://firms.modaps.eosdis.nasa.gov/,https://firms.modaps.eosdis.nasa.gov,?? Simple MCP,"fire_events(area_bbox, date_range)",Physical risk to assets,Spatial accuracy & lag,"Insurers, utilities, ag",Join to assets required,ESG/climate overlays,Open data
